sNoEmplacement,nNoTroncon,longitude,latitude
G406,1,-73.571028,45.508322
G408,1,-73.570925,45.508273
G409,1,-73.570889,45.508256
G411,1,-73.570721,45.508175
G412,1,-73.570619,45.50813
G413,1,-73.570619,45.50813
G414,1,-73.570491,45.508069
G415,1,-73.570491,45.508069
G416,1,-73.570361,45.508007
G417,1,-73.570361,45.508007
G418,1,-73.570252,45.507958
G421,1,-73.570054,45.507862
G422,1,-73.570054,45.507862
G423,1,-73.569917,45.507794
G427,1,-73.569693,45.507686
G428,1,-73.569693,45.507686
G429,1,-73.569593,45.50764
E810,2,-73.571088,45.508166
E811,2,-73.571088,45.508166
E814,2,-73.57084,45.508046
E815,2,-73.57084,45.508046
E818,2,-73.570613,45.507941
E819,2,-73.570545,45.507907
E820,2,-73.570477,45.507876
E821,2,-73.570412,45.507844
E822,2,-73.570341,45.507809
E823,2,-73.570341,45.507809
G430,3,-73.569251,45.507485
G431,3,-73.569251,45.507485
G432,3,-73.569125,45.507424
G433,3,-73.569125,45.507424
G434,3,-73.569048,45.507385
G435,3,-73.568966,45.507348
E825,4,-73.569952,45.507626
E826,4,-73.569952,45.507626
E827,4,-73.569819,45.507563
E828,4,-73.569819,45.507563
E829,4,-73.569741,45.507526
H402,5,-73.568596,45.507172
H403,5,-73.568596,45.507172
H404,5,-73.568466,45.507112
H405,5,-73.568466,45.507112
H406,5,-73.568339,45.507053
H407,5,-73.568339,45.507053
H408,5,-73.568212,45.506993
H409,5,-73.568212,45.506993
F856,6,-73.568721,45.507071
F857,6,-73.568637,45.507031
F858,6,-73.568637,45.507031
F859,6,-73.568505,45.506969
F860,6,-73.568435,45.506936
F861,6,-73.568435,45.506936
F862,6,-73.568299,45.506872
F863,6,-73.568299,45.506872
H429,7,-73.56672,45.506288
H430,7,-73.56672,45.506288
H431,7,-73.566593,45.506228
H432,7,-73.566524,45.506194
H433,7,-73.566456,45.506162
H434,7,-73.566381,45.506126
H435,7,-73.566381,45.506126
H437,7,-73.566246,45.506061
H440,7,-73.566021,45.505953
H441,7,-73.566021,45.505953
H444,7,-73.565773,45.505843
H445,7,-73.565759,45.505836
H446,7,-73.565637,45.505774
H447,7,-73.565571,45.505738
H448,7,-73.565571,45.505738
H451,7,-73.565318,45.50562
H452,7,-73.565278,45.505601
H453,7,-73.565178,45.505556
H454,7,-73.565178,45.505556
H455,7,-73.565051,45.505495
H456,7,-73.565051,45.505495
H457,7,-73.564924,45.505433
H458,7,-73.564924,45.505433
F865,8,-73.56792,45.506694
F866,8,-73.56792,45.506694
F879,10,-73.566841,45.506168
F880,10,-73.566756,45.506128
F881,10,-73.566756,45.506128
F882,10,-73.566687,45.506097
F883,10,-73.566623,45.506067
F886,12,-73.566385,45.505946
F887,12,-73.566385,45.505946
F888,12,-73.566235,45.505875
F889,12,-73.566235,45.505875
F890,12,-73.566122,45.505821
F891,12,-73.566081,45.505809
F894,12,-73.565864,45.505701
F895,12,-73.565767,45.505656
F896,12,-73.565679,45.505609
F897,12,-73.565679,45.505609
F898,12,-73.565544,45.505545
F899,12,-73.565544,45.505545
F900,12,-73.565409,45.50548
F901,12,-73.565409,45.50548
F828,19,-73.567404,45.505263
F829,19,-73.567404,45.505263
F830,19,-73.567263,45.505195
F831,19,-73.567263,45.505195
F810,20,-73.568835,45.505842
F811,20,-73.568752,45.505802
F812,20,-73.568752,45.505802
F813,20,-73.568626,45.50574
F814,20,-73.568626,45.50574
F815,20,-73.5685,45.505678
F833,21,-73.567041,45.505098
F834,21,-73.567041,45.505098
F835,21,-73.566899,45.505028
F838,21,-73.566713,45.504938
F839,21,-73.566713,45.504938
F840,21,-73.566578,45.504872
F841,21,-73.566578,45.504872
F842,21,-73.566441,45.504805
E770,25,-73.571674,45.506475
E771,25,-73.571616,45.506448
E772,25,-73.5715,45.506392
E773,25,-73.5715,45.506392
E774,25,-73.571373,45.506332
E775,25,-73.571373,45.506332
E776,25,-73.571245,45.506272
E777,25,-73.571245,45.506272
E778,25,-73.571117,45.506212
E779,25,-73.571129,45.506152
