NoTroncon;DescriptionTroncon;DateCreation;NoHeure;NbMinDispo;TxOccupation
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-01;15;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-01;16;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-01;17;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-01;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-01;19;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-01;20;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;9;1440;0,0556
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;10;1440;0,0306
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;11;1440;0,1458
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;12;1440;0,2375
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;13;1440;0,6111
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;14;1440;0,5549
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;15;1440;0,4306
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;16;1440;0,4972
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;17;1440;0,5799
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;18;1200;0,8017
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;19;1200;0,9467
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-02;20;1200;0,7908
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;9;1440;0,0486
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;10;1440;0,0354
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;11;1440;0,0896
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;12;1440;0,2104
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;13;1440;0,3174
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;14;1440;0,4465
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;15;1440;0,5653
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;16;1440;0,6361
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;17;1440;0,7049
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-03;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-04;13;1440;0,2819
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-04;14;1440;0,3674
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-04;15;1440;0,30
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-04;16;1440;0,3694
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-04;17;1440;0,4368
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-04;18;0;0,00
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;9;1440;0,0465
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;10;1440;0,1264
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;11;1440;0,2257
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;12;1440;0,30
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;13;1440;0,4271
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;14;1440;0,4146
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;15;1440;0,2958
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;16;1440;0,3875
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;17;1440;0,5208
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;18;1200;0,5033
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;19;1200;0,5342
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-05;20;1200;0,6783
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;9;1440;0,0444
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;10;1440;0,0833
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;11;1440;0,1028
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;12;1440;0,0833
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;13;1440;0,0403
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;14;1440;0,0194
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;15;1440;0,0778
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;16;1440;0,0653
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;17;1440;0,0868
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;18;1200;0,1083
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;19;1200;0,2208
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-06;20;1200;0,1975
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;9;1440;0,109
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;10;1440;0,2292
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;11;1440;0,3667
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;12;1440;0,2806
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;13;1440;0,2944
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;14;1440;0,2583
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;15;1440;0,1965
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;16;1440;0,1583
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;17;1440;0,2104
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;18;1200;0,5233
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;19;1200;0,6092
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-07;20;1200;0,6217
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;9;1440;0,1444
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;10;1440;0,1958
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;11;1440;0,2146
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;12;1440;0,2646
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;13;1440;0,4757
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;14;1440;0,2688
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;15;1440;0,3722
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;16;1440;0,2063
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;17;1440;0,1785
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;18;1200;0,39
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;19;1200;0,775
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-08;20;1200;0,6983
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;9;1440;0,0278
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;10;1440;0,0396
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;11;1440;0,166
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;12;1440;0,1931
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;13;1440;0,3125
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;14;1440;0,3486
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;15;1440;0,3667
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;16;1440;0,3396
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;17;1440;0,2806
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;18;1200;0,4267
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;19;1200;0,7417
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-09;20;1200;0,7742
402;Saint-Denis entre Sherbrooke et Ontario - Est;2015-01-10;9;1440;0,0938
