NoTroncon;CenterLongitude;CenterLatitude;EmplacementCount;sNoEmplacement;longitude;latitude
1;-73.570339;45.507996;17;G406;-73.571028;45.508322
1;-73.570339;45.507996;17;G408;-73.570925;45.508272999999996
1;-73.570339;45.507996;17;G409;-73.57088900000001;45.508256
1;-73.570339;45.507996;17;G411;-73.57072099999999;45.508175
1;-73.570339;45.507996;17;G412;-73.570619;45.50813
1;-73.570339;45.507996;17;G413;-73.570619;45.50813
1;-73.570339;45.507996;17;G414;-73.570491;45.508069
1;-73.570339;45.507996;17;G415;-73.570491;45.508069
1;-73.570339;45.507996;17;G416;-73.570361;45.508007
1;-73.570339;45.507996;17;G417;-73.570361;45.508007
1;-73.570339;45.507996;17;G418;-73.570252;45.507958
1;-73.570339;45.507996;17;G421;-73.570054;45.507862
1;-73.570339;45.507996;17;G422;-73.570054;45.507862
1;-73.570339;45.507996;17;G423;-73.569917;45.507794
1;-73.570339;45.507996;17;G427;-73.569693;45.507686
1;-73.570339;45.507996;17;G428;-73.569693;45.507686
1;-73.570339;45.507996;17;G429;-73.56959300000001;45.50764
2;-73.570659;45.507961;10;E810;-73.571088;45.508165999999996
2;-73.570659;45.507961;10;E811;-73.571088;45.508165999999996
2;-73.570659;45.507961;10;E814;-73.57084;45.508046
2;-73.570659;45.507961;10;E815;-73.57084;45.508046
2;-73.570659;45.507961;10;E818;-73.570613;45.507940999999995
2;-73.570659;45.507961;10;E819;-73.570545;45.507907
2;-73.570659;45.507961;10;E820;-73.570477;45.507876
2;-73.570659;45.507961;10;E821;-73.570412;45.507844
2;-73.570659;45.507961;10;E822;-73.570341;45.507809
2;-73.570659;45.507961;10;E823;-73.570341;45.507809
3;-73.569128;45.507425;6;G430;-73.569251;45.507484999999996
3;-73.569128;45.507425;6;G431;-73.569251;45.507484999999996
3;-73.569128;45.507425;6;G432;-73.569125;45.507424
3;-73.569128;45.507425;6;G433;-73.569125;45.507424
3;-73.569128;45.507425;6;G434;-73.569048;45.507385
3;-73.569128;45.507425;6;G435;-73.568966;45.507348
4;-73.569857;45.507581;5;E825;-73.569952;45.507626
4;-73.569857;45.507581;5;E826;-73.569952;45.507626
4;-73.569857;45.507581;5;E827;-73.569819;45.507563
4;-73.569857;45.507581;5;E828;-73.569819;45.507563
4;-73.569857;45.507581;5;E829;-73.56974100000001;45.507526
5;-73.568403;45.507083;8;H402;-73.568596;45.507172
5;-73.568403;45.507083;8;H403;-73.568596;45.507172
5;-73.568403;45.507083;8;H404;-73.568466;45.507112
5;-73.568403;45.507083;8;H405;-73.568466;45.507112
5;-73.568403;45.507083;8;H406;-73.568339;45.507053000000006
5;-73.568403;45.507083;8;H407;-73.568339;45.507053000000006
5;-73.568403;45.507083;8;H408;-73.568212;45.506993
5;-73.568403;45.507083;8;H409;-73.568212;45.506993
6;-73.568496;45.506965;8;F856;-73.568721;45.507071
6;-73.568496;45.506965;8;F857;-73.568637;45.507031
6;-73.568496;45.506965;8;F858;-73.568637;45.507031
6;-73.568496;45.506965;8;F859;-73.568505;45.506969
6;-73.568496;45.506965;8;F860;-73.568435;45.506935999999996
6;-73.568496;45.506965;8;F861;-73.568435;45.506935999999996
6;-73.568496;45.506965;8;F862;-73.568299;45.506871999999994
6;-73.568496;45.506965;8;F863;-73.568299;45.506871999999994
7;-73.565795;45.505848;23;H429;-73.56671999999999;45.506288
7;-73.565795;45.505848;23;H430;-73.56671999999999;45.506288
7;-73.565795;45.505848;23;H431;-73.56659300000001;45.506228
7;-73.565795;45.505848;23;H432;-73.566524;45.506194
7;-73.565795;45.505848;23;H433;-73.566456;45.506161999999996
7;-73.565795;45.505848;23;H434;-73.566381;45.506126
7;-73.565795;45.505848;23;H435;-73.566381;45.506126
7;-73.565795;45.505848;23;H437;-73.56624599999999;45.506060999999995
7;-73.565795;45.505848;23;H440;-73.56602099999999;45.505953000000005
7;-73.565795;45.505848;23;H441;-73.56602099999999;45.505953000000005
7;-73.565795;45.505848;23;H444;-73.565773;45.505843
7;-73.565795;45.505848;23;H445;-73.565759;45.505835999999995
7;-73.565795;45.505848;23;H446;-73.565637;45.505774
7;-73.565795;45.505848;23;H447;-73.56557099999999;45.505738
7;-73.565795;45.505848;23;H448;-73.56557099999999;45.505738
7;-73.565795;45.505848;23;H451;-73.565318;45.50562
7;-73.565795;45.505848;23;H452;-73.565278;45.505601
7;-73.565795;45.505848;23;H453;-73.565178;45.505556
7;-73.565795;45.505848;23;H454;-73.565178;45.505556
7;-73.565795;45.505848;23;H455;-73.565051;45.505495
7;-73.565795;45.505848;23;H456;-73.565051;45.505495
7;-73.565795;45.505848;23;H457;-73.564924;45.505433000000004
7;-73.565795;45.505848;23;H458;-73.564924;45.505433000000004
8;-73.56792;45.506694;2;F865;-73.56792;45.506694
8;-73.56792;45.506694;2;F866;-73.56792;45.506694
10;-73.566733;45.506118;5;F879;-73.566841;45.506168
10;-73.566733;45.506118;5;F880;-73.56675600000001;45.506128000000004
10;-73.566733;45.506118;5;F881;-73.56675600000001;45.506128000000004
10;-73.566733;45.506118;5;F882;-73.566687;45.506097
10;-73.566733;45.506118;5;F883;-73.56662299999999;45.506067
12;-73.565881;45.505707;14;F886;-73.566385;45.505946
12;-73.565881;45.505707;14;F887;-73.566385;45.505946
12;-73.565881;45.505707;14;F888;-73.56623499999999;45.505875
12;-73.565881;45.505707;14;F889;-73.56623499999999;45.505875
12;-73.565881;45.505707;14;F890;-73.566122;45.505821000000005
12;-73.565881;45.505707;14;F891;-73.56608100000001;45.505809
12;-73.565881;45.505707;14;F894;-73.565864;45.505701
12;-73.565881;45.505707;14;F895;-73.56576700000001;45.505656
12;-73.565881;45.505707;14;F896;-73.565679;45.505609
12;-73.565881;45.505707;14;F897;-73.565679;45.505609
12;-73.565881;45.505707;14;F898;-73.56554399999999;45.505545
12;-73.565881;45.505707;14;F899;-73.56554399999999;45.505545
12;-73.565881;45.505707;14;F900;-73.565409;45.50548
12;-73.565881;45.505707;14;F901;-73.565409;45.50548
19;-73.567334;45.505229;4;F828;-73.56740400000001;45.505263
19;-73.567334;45.505229;4;F829;-73.56740400000001;45.505263
19;-73.567334;45.505229;4;F830;-73.567263;45.505195
19;-73.567334;45.505229;4;F831;-73.567263;45.505195
20;-73.568682;45.505767;6;F810;-73.56883499999999;45.505842
20;-73.568682;45.505767;6;F811;-73.568752;45.505802
20;-73.568682;45.505767;6;F812;-73.568752;45.505802
20;-73.568682;45.505767;6;F813;-73.568626;45.50574
20;-73.568682;45.505767;6;F814;-73.568626;45.50574
20;-73.568682;45.505767;6;F815;-73.5685;45.505678
21;-73.56675;45.504956;8;F833;-73.567041;45.505098
21;-73.56675;45.504956;8;F834;-73.567041;45.505098
21;-73.56675;45.504956;8;F835;-73.56689899999999;45.505028
21;-73.56675;45.504956;8;F838;-73.56671300000001;45.504938
21;-73.56675;45.504956;8;F839;-73.56671300000001;45.504938
21;-73.56675;45.504956;8;F840;-73.566578;45.504872
21;-73.56675;45.504956;8;F841;-73.566578;45.504872
21;-73.56675;45.504956;8;F842;-73.566441;45.504805
25;-73.571349;45.506309;11;E770;-73.571674;45.506475
25;-73.571349;45.506309;11;E771;-73.571616;45.506448
25;-73.571349;45.506309;11;E772;-73.5715;45.506392
25;-73.571349;45.506309;11;E773;-73.5715;45.506392
25;-73.571349;45.506309;11;E774;-73.571373;45.506332
25;-73.571349;45.506309;11;E775;-73.571373;45.506332
25;-73.571349;45.506309;11;E776;-73.57124499999999;45.506271999999996
25;-73.571349;45.506309;11;E777;-73.57124499999999;45.506271999999996
25;-73.571349;45.506309;11;E778;-73.571117;45.506212
25;-73.571349;45.506309;11;E779;-73.571129;45.506152
25;-73.571349;45.506309;11;E780;-73.571069;45.506122999999995
26;-73.57156;45.506211;6;E753;-73.571862;45.506355
26;-73.57156;45.506211;6;E754;-73.571732;45.506294
26;-73.57156;45.506211;6;E755;-73.571732;45.506294
26;-73.57156;45.506211;6;E756;-73.57163;45.506242
26;-73.57156;45.506211;6;E762;-73.571201;45.506040999999996
26;-73.57156;45.506211;6;E763;-73.571201;45.506040999999996
27;-73.570553;45.50594;6;E788;-73.570683;45.506003
27;-73.570553;45.50594;6;E789;-73.570683;45.506003
27;-73.570553;45.50594;6;E790;-73.570553;45.505939
27;-73.570553;45.50594;6;E791;-73.570553;45.505939
27;-73.570553;45.50594;6;E792;-73.570423;45.505879
27;-73.570553;45.50594;6;E793;-73.570423;45.505879
28;-73.57068;45.505793;7;E781;-73.570839;45.505868
28;-73.57068;45.505793;7;E782;-73.570839;45.505868
28;-73.57068;45.505793;7;E783;-73.570711;45.505808
28;-73.57068;45.505793;7;E784;-73.570711;45.505808
28;-73.57068;45.505793;7;E785;-73.570584;45.505747
28;-73.57068;45.505793;7;E786;-73.570584;45.505747
28;-73.57068;45.505793;7;E787;-73.570489;45.505702
29;-73.569934;45.505558;6;F784;-73.570065;45.50563
29;-73.569934;45.505558;6;F785;-73.570009;45.505590999999995
29;-73.569934;45.505558;6;F786;-73.570009;45.505590999999995
29;-73.569934;45.505558;6;F787;-73.56988199999999;45.505532
29;-73.569934;45.505558;6;F788;-73.56988199999999;45.505532
29;-73.569934;45.505558;6;F789;-73.569755;45.505469
30;-73.568546;45.504907;5;F803;-73.568712;45.504985
30;-73.568546;45.504907;5;F805;-73.56857;45.504917999999996
30;-73.568546;45.504907;5;F806;-73.56857;45.504917999999996
30;-73.568546;45.504907;5;F807;-73.568439;45.504856
30;-73.568546;45.504907;5;F808;-73.568439;45.504856
33;-73.568002;45.5039;11;F764;-73.56841999999999;45.504104999999996
33;-73.568002;45.5039;11;F765;-73.568318;45.504054
33;-73.568002;45.5039;11;F766;-73.568318;45.504054
33;-73.568002;45.5039;11;F767;-73.56824;45.504015
33;-73.568002;45.5039;11;F768;-73.568129;45.503962
33;-73.568002;45.5039;11;F769;-73.568129;45.503962
33;-73.568002;45.5039;11;F774;-73.56783;45.503813
33;-73.568002;45.5039;11;F775;-73.567771;45.503787
33;-73.568002;45.5039;11;F776;-73.567655;45.503731
33;-73.568002;45.5039;11;F777;-73.567655;45.503731
33;-73.568002;45.5039;11;F778;-73.567557;45.503685
155;-73.570384;45.506478;15;E436;-73.570751;45.506104
155;-73.570384;45.506478;15;E437;-73.570751;45.506104
155;-73.570384;45.506478;15;E438;-73.570665;45.506187
155;-73.570384;45.506478;15;E439;-73.570665;45.506187
155;-73.570384;45.506478;15;E440;-73.570584;45.506275
155;-73.570384;45.506478;15;E441;-73.570584;45.506275
155;-73.570384;45.506478;15;E442;-73.57050100000001;45.506361
155;-73.570384;45.506478;15;E443;-73.57050100000001;45.506361
155;-73.570384;45.506478;15;E448;-73.57021800000001;45.506651
155;-73.570384;45.506478;15;E449;-73.57021800000001;45.506651
155;-73.570384;45.506478;15;E450;-73.570127;45.50674
155;-73.570384;45.506478;15;E451;-73.570127;45.50674
155;-73.570384;45.506478;15;E452;-73.570086;45.506785
155;-73.570384;45.506478;15;E453;-73.56999300000001;45.506875
155;-73.570384;45.506478;15;E454;-73.56999300000001;45.506875
156;-73.570073;45.507064;12;E419;-73.570357;45.506774
